id,name,category,add,latitude,longitude,num,cate_num,현대카드_가맹여부
7520,피에스핏,(헬스클럽/헬스클럽),경기도 용인시 수지구 풍덕천동 709-1번지,37.32499915,127.0961901,2025800816,8305,가맹
7521,옥된장(상현점),(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1117-5번지,37.29733798,127.068785,7186000726,2301,비가맹
7522,토리키치 광교상현역점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1132-3번지,37.29712674,127.0701853,2901202434,2301,가맹
7523,가을민들레 전,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 46-3번지,37.32358831,127.0793237,8175700853,2301,가맹
7524,제주곤이칼국수 광교상현역점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1132-3번지,37.29712674,127.0701853,4134001384,2301,가맹
7525,연세항통의원,(외과/외과),"경기도 용인시 수지구 상현동 1117광교스타천601호,602호,603호",,,1429109055,4204,가맹
7526,숲속 필라테스,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 상현동 1158-15번지,37.29721735,127.080362,7522301943,8310,가맹
7527,보울레시피 수지성복점,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 33-1번지,37.31074141,127.0812686,7752201992,2301,가맹
7528,아마스빈 수지고점,(일반음식점/일반음식점),경기도 용인시 수지구 동천동 282-8번지 다온빌,37.33212838,127.0933412,2970600853,2301,가맹
7529,동영식품,(기타식음료품/기타식음료품),경기도 용인시 수지구 상현동 840번지 상현마을금호베스트빌4단지,37.30557403,127.0805864,1420895281,2105,비가맹
7530,채현미용실,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 상현동 867번지,37.3069206,127.0765052,6784100354,1602,가맹
7531,엘앤케이학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 1080-2번지,37.32194588,127.0942651,1399034473,7201,가맹
7532,숨약국,(약국/약국),경기도 용인시 수지구 죽전동 1259-1번지,37.32620835,127.118318,4792500650,4402,가맹
7533,수지프라임약국,(약국/약국),경기도 용인시 수지구 동천동 899번지,37.33825017,127.101696,4681201945,4402,가맹
7534,초록약국,(약국/약국),경기도 용인시 수지구 풍덕천동 722-1번지,37.32341724,127.0975191,1407900395,4402,가맹
7535,클레버수학교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 941번지,37.33503345,127.1074589,7679901391,7213,가맹
7536,카페그라운드 주식회사,(일반음식점/일반음식점),경기도 용인시 수지구 고기동 400-5번지,37.35644844,127.0440906,5308601144,2301,비가맹
7537,(주)이레뮤직이레음악학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 죽전동 876-6번지,37.33290038,127.1084295,6968701719,7205,비가맹
7538,큰집닭강정,(치킨전문점/치킨전문점),경기도 용인시 수지구 죽전동 484-9번지,37.32861103,127.1142988,6245200751,2309,비가맹
7539,플러스크리닝수선,(기타수리.수선전문/기타수리.수선전문),경기도 용인시 수지구 동천동 913번지 수지디이스트,37.34004571,127.0968998,3702401020,3504,가맹
7540,써니스피자마켓,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 668-9번지,37.3324635,127.0990964,1550102998,2301,가맹
7541,유나,(기타서비스/기타서비스),경기도 용인시 수지구 신봉동 87-5번지,37.32520988,127.076538,1420965348,9602,가맹
7542,성복전집,(일식전문점/일식전문점),경기도 용인시 수지구 성복동 89번지,37.31341877,127.0787936,8822302087,2303,가맹
7543,죽전명문태권도장,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 죽전동 1190-5번지,37.33124948,127.1275488,7029600055,7204,가맹
7544,지앤비영어전문학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 죽전동 1190-1번지,37.33148042,127.126464,6039680354,7201,비가맹
7545,광교봄아트미술교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 1220번지,37.30030383,127.0713407,1869101465,7213,가맹
7546,그림나무짱샘의미술교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 1025번지,37.31983888,127.0870983,7609100357,7213,가맹
7547,장꼬방,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 33-1번지,37.31074141,127.0812686,2655700237,2301,가맹
7548,루센트(LUCENT) 수지성복점,(안경.광학제품/안경.광학제품),경기도 용인시 수지구 성복동 74번지,37.31392771,127.0799644,6011792086,1403,비가맹
7549,대청삼성영어교습소,(외국어학원/외국어학원),경기도 용인시 수지구 죽전동 1186-2번지,37.33221427,127.1276456,6029669657,7202,가맹
7550,유투엠한스학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 동천동 371-5번지,37.34039418,127.0986478,5429301183,7201,가맹
7551,윤선생영어숲용인상현학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 244-2번지,37.305077,127.0827783,1420914010,7201,가맹
7552,용인대 청룡 태권도장,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 죽전동 589-24번지,37.33330722,127.1115317,1429119515,7204,가맹
7553,우민미용실,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 성복동 731번지,37.31756564,127.0689177,1420138694,1602,가맹
7554,에덴피부관리,(화장품/화장품),경기도 용인시 수지구 죽전동 1003-8 207,37.32854062,127.1093213,1420521906,1501,가맹
7555,케이(K)수학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 239-3번지,37.31565848,127.0876855,6429701384,7201,비가맹
7556,과학경시뉴튼학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 1080-11번지,37.32217474,127.095291,1429048099,7201,가맹
7557,광교청운학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 1131-2번지,37.29790057,127.0698085,7949501570,7201,비가맹
7558,하이로왕 마라탕,(중식전문점/중식전문점),경기도 용인시 수지구 죽전동 1338-3번지,37.32475489,127.1260909,3171002720,2302,가맹
7559,시티엔핏복싱,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 죽전동 1254-3번지,37.32846913,127.1150106,3829002217,7204,가맹
7560,진바이크,(오토바이/오토바이),경기도 용인시 수지구 풍덕천동 672-6번지,37.33251567,127.1011957,2556900456,6404,가맹
7561,신정,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 69-91번지,37.32496895,127.1005697,1420150854,2301,가맹
7562,하임동물병원,(동물병원/동물병원),경기도 용인시 수지구 풍덕천동 100-17번지,37.32229822,127.0997937,2561800189,8115,가맹
7563,연세 별 소아치과치과의원,(치과/치과),경기도 용인시 수지구 풍덕천동 29-7번지,37.32737715,127.0957033,5179900176,4201,가맹
7564,꿀레(Couler),(커피전문점/커피전문점),경기도 용인시 수지구 고기동 249번지,37.35762768,127.0531284,3020619367,2502,비가맹
7565,향리원마라탕,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1117-1번지,37.29828541,127.0690504,5272601784,2301,가맹
7566,에이치(H)요가,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 상현동 254-1번지,37.30714857,127.084877,5982301219,8310,비가맹
7567,세븐일레븐 용인동천타운점,(편의점/편의점),경기도 용인시 수지구 동천동 875-9번지,37.33519078,127.0926699,2795600622,5202,가맹
7568,에스와이엔씨(SYNC)보컬발성클래스학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 상현동 1131-3번지,37.29767502,127.0697534,8139401933,7205,비가맹
7569,엄마는스테이크,(일반음식점/일반음식점),경기도 용인시 수지구 신봉동 953-3번지,37.329466,127.0694819,8390502624,2301,가맹
7570,그래그래피자떡볶이,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 683번지,37.33142596,127.1014837,8530801355,2301,가맹
7571,타이어 LAB,(타이어판매점/타이어판매점),경기도 용인시 수지구 죽전동 811-1번지,37.33446937,127.108602,3081096689,6504,가맹
7572,다솜,(기타건축자재/기타건축자재),경기도 용인시 수지구 죽전동 484-14번지,37.32800818,127.1146292,1420482911,3403,가맹
7573,정평종합철물,(기타건축자재/기타건축자재),경기도 용인시 수지구 상현동 66-9번지,37.30887165,127.0852851,1420321542,3403,가맹
7574,라이스피아,(기타식음료품/기타식음료품),경기도 용인시 수지구 죽전동 1806-1 죽전택지개발지구 우영프라자 108,,,1351851775,2105,비가맹
7575,찬찬,(기타식음료품/기타식음료품),경기도 용인시 수지구 풍덕천동 1049-3번지,37.31940047,127.0880375,7813600506,2105,비가맹
7576,잉글리시아이 현암초,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1216번지 새터마을모아미래도,37.33032256,127.1223383,2719501757,7213,비가맹
7577,우리집식당,(일반음식점/일반음식점),경기도 용인시 수지구 고기동 192-1번지,37.36037067,127.0610958,8647500265,2301,가맹
7578,가마치통닭 수지상현점,(치킨전문점/치킨전문점),경기도 용인시 수지구 상현동 64-5번지,37.30953368,127.0864325,4200502982,2309,가맹
7579,디아이(DI)모터스,(자동차정비/자동차정비),경기도 용인시 수지구 동천동 874-7번지,37.33559597,127.0925436,1293317606,6502,비가맹
7580,보물창고,(일반의류/일반의류),경기도 용인시 수지구 상현동 857번지 성복역아이파크,37.31172184,127.0857998,7874000383,1106,가맹
7581,에이플,(일반의류/일반의류),경기도 용인시 수지구 상현동 257-22번지,37.30785998,127.0846813,3323401541,1106,가맹
7582,화덕빵집,(제과.제빵/제과.제빵),경기도 용인시 수지구 풍덕천동 29-8번지,37.3272248,127.0959637,7641701722,2501,가맹
7583,비전골프,(전문스포츠용품점/전문스포츠용품점),경기도 용인시 수지구 동천동 88-17번지,37.34768652,127.0881991,2911201442,8121,비가맹
7584,수내과의원,(내과/내과),경기도 용인시 수지구 죽전동 1190-5번지,37.33124948,127.1275488,3129008376,4202,가맹
7585,이안,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 성복동 381-2번지,37.32011164,127.0626618,2783400307,1602,가맹
7586,현태권도,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 죽전동 1165번지,37.33233464,127.1229604,6149411611,7204,가맹
7587,메가매쓰수학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 1117번지,37.29851993,127.0690942,3439001998,7201,가맹
7588,정현우 수학,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 663-1번지,37.32969363,127.0930495,6989901722,7213,가맹
7589,하이매쓰수학교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 830번지,37.30220233,127.0779083,2529601660,7213,가맹
7590,고르제(GORGEE),(커피전문점/커피전문점),경기도 용인시 수지구 죽전동 1185-2번지,37.33252088,127.1276892,5690602907,2502,비가맹
7591,플레이매쓰앤보드,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 254-14번지,37.30676003,127.0846083,7179800575,7213,가맹
7592,본죽&비빔밥 수지상현점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 254-14번지,37.30676003,127.0846083,8384300912,2301,비가맹
7593,맛드림한식뷔페,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1220번지,37.30030383,127.0713407,8470403253,2301,비가맹
7594,담다제빵소,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 257-1번지,37.30849181,127.084926,3992601762,2301,가맹
7595,술집 상현,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1132-4번지,37.29657629,127.0700192,4483101243,2301,가맹
7596,데이연에스테틱,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 성복동 748-1번지 신봉샤르망2,37.31481293,127.0804899,6530502414,1701,가맹
7597,용인신봉청담독서실,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 신봉동 40-2번지,37.32362315,127.0764567,6909701156,7213,가맹
7598,티피코교육 용인지사,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 신봉동 880번지 서홍마을한화꿈에그린,37.32360305,127.0809377,8154300340,7213,가맹
7599,수학이달달하다,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 신봉동 50-2번지,37.32310353,127.0798795,5779300308,7213,가맹
7600,홍선생미술용인수시지사,(교육및교구/교육및교구),경기도 용인시 수지구 상현동 1099번지 심곡마을광교힐스테이트,37.30875101,127.074159,1429116444,7303,비가맹
7601,알파문구(광교상현역점),"(문구,사무용품/문구,사무용품)",경기도 용인시 수지구 상현동 1132번지,37.29820056,127.0705064,8563000322,8102,비가맹
7602,(주)행복공간디자인,(기타전문서비스/기타전문서비스),경기도 용인시 수지구 풍덕천동 686번지,37.33099523,127.0993864,2158714524,9511,비가맹
7603,항아리속반찬,(기타식음료품/기타식음료품),경기도 용인시 수지구 죽전동 1186-1번지,37.33221334,127.1273521,1420650112,2105,가맹
7604,스카이PC 수지구청역점,(오락실/PC방/오락실/PC방),경기도 용인시 수지구 풍덕천동 1078번지,37.32310172,127.0948684,2703500241,8401,가맹
7605,꽃가풍,(화원.화초/화원.화초),경기도 용인시 수지구 풍덕천동 1223번지 수지파크푸르지오,37.32676466,127.0984833,2212765816,8110,가맹
7606,솔채 스튜디오,(화원.화초/화원.화초),경기도 용인시 수지구 상현동 1116-3번지,37.29744417,127.0682428,2050475744,8110,가맹
7607,황궁,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 상현동 1131-8번지,37.29656527,127.0694664,4050363012,1701,가맹
7608,윤선생IGSE용인죽전학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 죽전동 1254-3번지,37.32846913,127.1150106,8339401830,7201,가맹
