id,name,SH
7119,골프존파크 상현나눔스크린점,0
3341,골프존파크 신봉비전파이브,1
961,골프존파크 죽전점365,1
645,골프존파크 죽전허브스크린,1
2593,골프존파크동천플레이베이,0
5648,골프카키,1
4099,골프홀릭,1
5618,곰돌이당구장,1
6716,곰비네일,1
6938,곰수학학원,1
6439,곰탕314,1
5606,곱분이곱창,1
7622,공 때리는 언니들,1
4000,공간,1
7361,공간샘스터디카페수지구청점,0
4833,공간인테리어,1
1920,공감,1
1813,공감,1
2048,공감모터스,1
298,공감수학학원,1
2673,공감클린,1
160,공룡영수2관학원,1
5195,공룡영수학원,1
5309,공릉동 멸치국수,1
7362,공부머리키우는독해랑창의랑학원,1
6399,공예사랑방,0
348,공운학원,1
5607,공존하개,1
6682,공증인 정창섭 사무소,1
7150,공차 수지상현점,1
2098,공차 용인상현역점,0
3052,공차(새터마을점),1
223,공차수지구청점,0
1543,공치는아이,1
4005,공터영어바른수학수지동천센터학원,1
691,공터영어성복센터학원,0
6846,공터영어수지동천센터학원,0
3040,과수원보습학원,1
140,과요미,1
2616,과일사랑,1
2780,과일생각,0
4875,과일샵,0
3263,과일숲,1
7476,과일어때,1
2055,과일에반하다프루타 수지점,1
4264,과학경시뉴튼학원,1
3885,곽만근갈비탕광교점,1
1982,곽정아산부인과,1
1546,관성스터디센터,0
6453,광교 상현 컴퓨터,1
4773,광교 세품 축구클럽,1
1910,광교 세품 축구클럽,1
687,광교 연세소아청소년과 의원,0
4502,광교 호수 동물병원,1
1302,광교1번약국,1
2393,광교MTB,1
4764,광교PT 필라테스 여성전용 업텐션핏 광교상현본점,1
3746,광교PT필라테스 여성전용 업텐션핏 광교상현본점,0
5005,광교간호학원,1
4481,광교고운꿈피부과,1
6637,광교골프연습장,1
7154,광교그린산부인과의원,1
4064,광교맛집광교상회,0
4597,광교매쓰업수학학원,1
5825,광교미소모아내과의원,1
4065,광교미소바른치과,1
4674,광교바른내과,1
5134,광교봄빛약국,1
7556,광교봄아트미술교습소,1
3669,광교분식,1
5554,광교빌리지골프,1
5778,광교산 한방삼계탕,1
2589,광교산장,1
2641,광교산한방삼계탕,0
5256,광교산한의원,0
2277,광교상현역공인중개사사무소,1
3607,광교상현연세신경외과의원,1
5792,광교새벽정신어학원,1
299,광교서울이비인후과의원,1
841,광교서점,1
2632,광교성음스즈키음악학원,1
784,광교쇼팽음악학원,1
6535,광교수약국,1
5621,광교아지트(주),1
1919,광교약국,1
6501,광교연습실,1
2870,광교요가스튜디오,0
54,광교요리학원,1
4689,광교웃음진치과,1
2859,광교윤하약국,1
4688,광교으뜸정형외과의원,1
7545,광교이음치과,1
3569,광교인내과의원,1
5737,광교장내과,1
7004,광교제이씨(JC)정형외과의원,0
5433,광교청운학원,0
3904,광교치과의원,1
3816,광교칼국수,0
4837,광교퀸즈헤나헤어샵,1
4729,광교튼튼약국,0
794,광교팜약국,1
6899,광교퍼스트약국,1
1506,광교포레 유스호스텔,1
1658,광교푸른약국,1
916,광교프라임한의원,1
7716,광교필하모니 음악학원,1
2647,광교한의원,1
7053,광교회수산,1
1988,광릉촌,1
2484,광성슈퍼,0
783,광성자동차,1
1196,광어나라,1
6870,광어한마리9900,0
3729,광천수압구정판매점,1
3484,괜찮은버섯샤브칼국수,1
7332,교촌치킨,1
4938,교촌치킨 수지1지구점,0
1271,교촌치킨(수지2지구점),1
7557,교촌치킨(죽전점),1
7395,교촌치킨(죽전점),1
1334,교하,1
5033,교학사풍덕천영어교습소,1
377,구가 짜장짬뽕,0
4199,구구아이즈안경원(goo goo eyes),0
3517,구노포차,1
6550,구돌씨 커피,1
2396,구돌씨 커피,1
2203,구돌씨 커피,1
4030,구돌씨 커피,1
2627,구돌씨커피,1
2189,구돌씨커피,1
5087,구돌씨커피,1
1056,구돌씨커피 성복 푸른마을점,1
324,구두수선,1
7609,구들장흑도야지,1
