시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부,현대카드_가맹여부_재검토
용인시,연세이튼치과의원,(치과/치과),경기도 용인시 수지구 죽전동 1178-2번지,16876.0,37.33199395,127.1235378,1429001885,4201,937345692,계속사업자,X,X
용인시,죽전에스S치과의원,(치과/치과),경기도 용인시 수지구 죽전동 1088-2번지 죽전역솔하임,16873.0,37.32753597,127.1135593,8459601633,4201,912645299,계속사업자,X,X
용인시,프리덤아트미술학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 946-10번지,16822.0,37.33532834,127.0907388,5049607906,7205,914962650,계속사업자,X,O
용인시,쏠레이,(화원.화초/화원.화초),경기도 용인시 수지구 죽전동 1335-3번지,16889.0,37.32403058,127.1250787,2849401358,8110,908241293,계속사업자,X,O
용인시,페트코코,"(애완동물,용품(수족관)/애완동물,용품(수족관))",경기도 용인시 수지구 죽전동 1254-3번지,16873.0,37.32846913,127.1150106,4907800497,8111,915713375,,X,X
용인시,홍루이젠 수지성복점,(기타식음료품/기타식음료품),경기도 용인시 수지구 성복동 168-10번지 성복역서희스타힐스,16852.0,37.31568138,127.0712985,3991700849,2105,994266476,계속사업자,X,X
용인시,전공음악학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 937번지,16822.0,37.33730454,127.0887638,4089202584,7205,917867468,,X,X
용인시,예음바이올린앤드피아노음악학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 동천동 859번지,16826.0,37.33992439,127.0983342,5589301913,7205,920076131,,X,X
용인시,모노캠프,(일반음식점/일반음식점),경기도 용인시 수지구 고기동 587번지,16800.0,37.35947589,127.0414525,2792101143,2301,900680647,계속사업자,X,O
용인시,Nook coffee,(식음료(기타)/식음료(기타)),경기도 용인시 수지구 풍덕천동 670-5번지,16829.0,37.33266498,127.1000322,6857500304,2310,913609161,계속사업자,X,X
용인시,에스와이엔씨보컬발성클래스학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 상현동 1131-3번지,16943.0,37.29767502,127.0697534,8139401933,7205,921951167,계속사업자,X,O
용인시,브라우니잉글리쉬,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 832-1번지 용인수지벽산타운2단지,16865.0,37.33572988,127.1054572,2940100621,7213,985169663,계속사업자,X,X
용인시,131 제면소,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 122-3번지,16833.0,37.32447774,127.0992517,4220102490,2301,911731934,,X,X
